census_tract,zero_to_eighteen,nineteen_to_twenty_five,twenty_six_to_thirty_four,thirty_five_to_fifty_four,fifty_five_to_sixty_four,sixty_five_plus
12011020311,909.0,297.0,371.0,987.0,403.0,370.0
12011020312,1515.0,467.0,592.0,1679.0,475.0,330.0
12011020313,1899.0,669.0,710.0,1867.0,601.0,487.0
12011020314,1323.0,441.0,471.0,1525.0,542.0,779.0
12011020315,1315.0,408.0,527.0,1567.0,647.0,508.0
12011020316,1117.0,447.0,554.0,1330.0,492.0,249.0
12011020317,826.0,272.0,319.0,971.0,440.0,280.0
12011020318,2348.0,655.0,820.0,3098.0,1354.0,676.0
12011020319,1662.0,473.0,507.0,2025.0,941.0,510.0
12011020320,1257.0,451.0,562.0,1705.0,708.0,369.0
12011020321,462.0,151.0,139.0,617.0,357.0,108.0
12011020322,834.0,249.0,302.0,1041.0,517.0,270.0
12011020323,992.0,432.0,496.0,1191.0,379.0,221.0
12011020324,1396.0,568.0,770.0,1927.0,580.0,705.0
12011020325,943.0,307.0,351.0,1010.0,311.0,357.0
12011020326,1937.0,650.0,731.0,1725.0,471.0,277.0
12011020404,2554.0,906.0,1085.0,2551.0,718.0,658.0
12011020405,1653.0,574.0,801.0,1521.0,419.0,284.0
12011020406,1656.0,634.0,707.0,2217.0,936.0,1183.0
12011020407,2224.0,771.0,867.0,2254.0,683.0,403.0
12011020409,762.0,256.0,439.0,1316.0,784.0,3968.0
12011020411,1151.0,389.0,621.0,1706.0,884.0,1563.0
12011020412,1291.0,422.0,572.0,913.0,231.0,116.0
12011020413,2251.0,1012.0,1324.0,2264.0,562.0,355.0
12011020414,842.0,303.0,603.0,1075.0,350.0,1164.0
12011020415,537.0,197.0,351.0,805.0,462.0,1073.0
12011020501,1421.0,524.0,594.0,1599.0,542.0,462.0
12011020502,1958.0,773.0,990.0,2056.0,610.0,523.0
12011030100,793.0,199.0,288.0,1318.0,679.0,753.0
12011030201,875.0,351.0,423.0,1325.0,485.0,441.0
12011030202,404.0,124.0,185.0,540.0,170.0,142.0
12011030203,965.0,364.0,603.0,1433.0,420.0,343.0
12011030301,620.0,455.0,522.0,772.0,180.0,125.0
12011030302,1826.0,691.0,729.0,1853.0,875.0,1229.0
12011030401,814.0,286.0,308.0,827.0,312.0,503.0
12011030402,1135.0,456.0,425.0,995.0,341.0,272.0
12011030500,1585.0,552.0,724.0,1315.0,317.0,256.0
12011030600,1696.0,1445.0,1484.0,2765.0,697.0,736.0
12011030702,746.0,329.0,417.0,989.0,368.0,296.0
12011030703,594.0,195.0,467.0,1114.0,590.0,1382.0
