tract,0-18,19-25,26-34,35-54,55-64,65+
04019004320,1047.0,322.0,330.0,866.0,306.0,302.0
04019004321,1570.0,398.0,637.0,1208.0,487.0,281.0
04019004322,2340.0,636.0,838.0,1814.0,625.0,468.0
04019004323,1395.0,202.0,588.0,1054.0,205.0,110.0
04019004324,19.0,3.0,16.0,95.0,487.0,2090.0
04019004325,52.0,18.0,24.0,139.0,454.0,996.0
04019004326,1048.0,231.0,512.0,825.0,312.0,401.0
04019004327,1082.0,339.0,537.0,1193.0,645.0,1078.0
04019004328,10.0,8.0,9.0,127.0,538.0,2713.0
04019004329,3707.0,537.0,1759.0,2720.0,661.0,591.0
04019004330,16.0,12.0,14.0,72.0,305.0,1277.0
04019004331,161.0,100.0,113.0,285.0,668.0,2201.0
04019004332,0.0,7.0,2.0,47.0,245.0,1048.0
04019004333,1348.0,305.0,529.0,1163.0,406.0,295.0
04019004334,2723.0,761.0,1252.0,2071.0,677.0,466.0
04019004404,141.0,66.0,71.0,362.0,578.0,2040.0
04019004407,2199.0,840.0,868.0,1551.0,519.0,424.0
04019004411,1231.0,2114.0,654.0,1631.0,838.0,681.0
04019004412,627.0,516.0,441.0,810.0,506.0,405.0
04019004413,657.0,290.0,354.0,942.0,523.0,468.0
04019004414,789.0,483.0,428.0,741.0,418.0,384.0
04019004415,291.0,128.0,179.0,455.0,261.0,327.0
04019004418,643.0,166.0,148.0,1042.0,761.0,606.0
04019004419,1631.0,492.0,596.0,1951.0,870.0,823.0
04019004421,1704.0,459.0,594.0,1921.0,1165.0,1276.0
04019004422,1057.0,496.0,543.0,1497.0,914.0,854.0
04019004423,976.0,296.0,350.0,1359.0,709.0,666.0
04019004424,1202.0,343.0,407.0,1299.0,604.0,458.0
04019004425,1535.0,443.0,479.0,1943.0,1038.0,791.0
04019004426,776.0,229.0,385.0,858.0,283.0,249.0
04019004427,2062.0,424.0,826.0,2268.0,1006.0,1672.0
04019004428,489.0,156.0,148.0,951.0,935.0,622.0
