census_tract,zero_to_eighteen,nineteen_to_twenty_five,twenty_six_to_thirty_four,thirty_five_to_fifty_four,fifty_five_to_sixty_four,sixty_five_plus
29071801102,1102.0,299.0,400.0,1160.0,479.0,699.0
29073960100,624.0,169.0,239.0,729.0,329.0,654.0
29073960200,419.0,106.0,134.0,562.0,327.0,397.0
29073960300,652.0,161.0,213.0,922.0,420.0,543.0
29073960400,841.0,282.0,360.0,847.0,355.0,553.0
29073960500,1008.0,276.0,398.0,1282.0,661.0,915.0
29075960100,691.0,198.0,250.0,848.0,393.0,649.0
29075960200,1078.0,290.0,357.0,937.0,383.0,732.0
29077000100,88.0,777.0,288.0,303.0,121.0,89.0
29077000200,656.0,3472.0,184.0,192.0,54.0,29.0
29077000300,485.0,825.0,433.0,787.0,364.0,345.0
29077000400,946.0,1024.0,659.0,814.0,343.0,620.0
29077000501,640.0,341.0,399.0,586.0,155.0,133.0
29077000502,506.0,863.0,491.0,892.0,325.0,236.0
29077000600,685.0,483.0,499.0,888.0,296.0,181.0
29077000700,741.0,1411.0,511.0,834.0,295.0,186.0
29077000800,684.0,1393.0,361.0,645.0,241.0,204.0
29077000900,573.0,1946.0,645.0,902.0,369.0,297.0
29077001000,379.0,273.0,304.0,607.0,299.0,354.0
29077001100,599.0,526.0,509.0,755.0,345.0,755.0
29077001200,793.0,537.0,582.0,971.0,383.0,503.0
29077001301,448.0,311.0,268.0,446.0,194.0,410.0
29077001302,206.0,478.0,288.0,358.0,184.0,543.0
29077001400,550.0,1316.0,632.0,776.0,347.0,828.0
29077001500,1063.0,586.0,696.0,1255.0,562.0,925.0
29077001700,727.0,371.0,379.0,878.0,386.0,480.0
29077001800,892.0,392.0,494.0,984.0,327.0,352.0
29077001900,786.0,364.0,424.0,835.0,312.0,288.0
29077002200,1027.0,611.0,628.0,1091.0,443.0,511.0
29077002300,1105.0,820.0,838.0,1419.0,612.0,622.0
29077002402,898.0,437.0,560.0,1038.0,479.0,598.0
29077002502,1064.0,731.0,637.0,1244.0,559.0,923.0
29077002600,966.0,331.0,433.0,1186.0,692.0,1240.0
29077002700,296.0,406.0,303.0,520.0,318.0,630.0
29077002800,258.0,127.0,191.0,329.0,244.0,557.0
29077002900,777.0,368.0,485.0,1012.0,525.0,960.0
29077003002,1152.0,831.0,884.0,1228.0,411.0,613.0
29077003100,642.0,298.0,361.0,802.0,376.0,451.0
29077003200,1126.0,454.0,573.0,1147.0,429.0,370.0
29077003300,1153.0,429.0,561.0,1043.0,387.0,393.0
29077003600,709.0,376.0,390.0,645.0,305.0,329.0
29077003700,1621.0,401.0,623.0,2119.0,1249.0,1395.0
29077003800,1723.0,281.0,346.0,2197.0,1259.0,1513.0
29077003900,630.0,183.0,307.0,801.0,358.0,461.0
29077004001,811.0,762.0,624.0,1116.0,673.0,1186.0
29077004002,742.0,175.0,242.0,1005.0,672.0,779.0
29077004003,1160.0,308.0,388.0,1457.0,750.0,684.0
29077004101,2416.0,499.0,1203.0,2534.0,985.0,831.0
29077004102,1864.0,680.0,864.0,2009.0,946.0,804.0
29077004103,1890.0,531.0,661.0,2135.0,765.0,784.0
29077004201,1007.0,285.0,421.0,1303.0,750.0,928.0
29077004202,1614.0,716.0,1189.0,1628.0,571.0,536.0
29077004301,1919.0,632.0,1305.0,1970.0,734.0,913.0
