tract,0-18,19-25,26-34,35-54,55-64,65+
05019953700,1027.0,334.0,393.0,1315.0,610.0,787.0
05019953800,1004.0,605.0,480.0,949.0,432.0,583.0
05019953900,1382.0,437.0,505.0,1607.0,713.0,881.0
05021950100,488.0,108.0,197.0,599.0,343.0,402.0
05021950200,503.0,147.0,186.0,709.0,350.0,426.0
05021950300,519.0,147.0,203.0,662.0,293.0,406.0
05021950400,832.0,282.0,313.0,901.0,406.0,684.0
05021950500,558.0,150.0,217.0,545.0,286.0,425.0
05021950600,894.0,302.0,357.0,1077.0,466.0,877.0
05023480100,982.0,251.0,375.0,1267.0,630.0,841.0
05023480201,212.0,68.0,96.0,308.0,283.0,531.0
05023480202,692.0,232.0,318.0,998.0,629.0,933.0
05023480300,1156.0,402.0,518.0,1287.0,668.0,1327.0
05023480400,957.0,331.0,379.0,1200.0,545.0,1077.0
05023480501,727.0,202.0,314.0,869.0,444.0,532.0
05023480502,731.0,228.0,314.0,994.0,521.0,877.0
05025970100,1332.0,342.0,489.0,1364.0,649.0,765.0
05025970200,942.0,278.0,386.0,1065.0,506.0,651.0
05027950100,1070.0,316.0,417.0,1271.0,523.0,708.0
05027950200,1161.0,412.0,452.0,1264.0,638.0,925.0
05027950300,1258.0,344.0,478.0,1506.0,693.0,856.0
05027950400,1392.0,1766.0,632.0,1252.0,581.0,936.0
05027950500,1198.0,451.0,439.0,948.0,406.0,503.0
05029950100,1409.0,385.0,560.0,1530.0,689.0,838.0
05029950200,810.0,272.0,302.0,1032.0,469.0,582.0
05029950300,1474.0,478.0,613.0,1441.0,554.0,1009.0
05029950400,515.0,199.0,240.0,595.0,271.0,436.0
05029950500,654.0,193.0,260.0,831.0,376.0,415.0
05029950600,549.0,124.0,218.0,538.0,339.0,312.0
05031000101,936.0,466.0,583.0,1079.0,438.0,583.0
05031000102,729.0,531.0,456.0,771.0,417.0,740.0
05031000200,1032.0,456.0,599.0,961.0,367.0,423.0
05031000300,1568.0,555.0,758.0,1530.0,861.0,1310.0
05031000401,1726.0,485.0,812.0,1504.0,507.0,453.0
05031000402,2010.0,1384.0,1304.0,1855.0,587.0,1123.0
05031000501,1581.0,545.0,854.0,1776.0,775.0,685.0
05031000502,1208.0,709.0,663.0,1121.0,466.0,450.0
05031000601,1752.0,892.0,712.0,1245.0,612.0,579.0
05031000602,1550.0,2878.0,688.0,769.0,193.0,130.0
05031000700,2058.0,680.0,954.0,2300.0,882.0,827.0
05031000801,1796.0,353.0,704.0,1948.0,803.0,627.0
05031000802,2003.0,632.0,851.0,2200.0,660.0,844.0
05031000900,1473.0,457.0,627.0,1545.0,603.0,785.0
05031001000,1107.0,325.0,453.0,1179.0,569.0,716.0
05031001100,1824.0,572.0,761.0,2187.0,849.0,886.0
05031001200,1404.0,465.0,653.0,1316.0,491.0,579.0
05033020100,1508.0,423.0,588.0,1748.0,860.0,893.0
05033020201,1685.0,428.0,586.0,1926.0,862.0,704.0
05033020203,2330.0,669.0,1004.0,2367.0,733.0,620.0
05033020204,1203.0,337.0,471.0,1481.0,719.0,949.0
05033020301,1159.0,369.0,457.0,1270.0,515.0,646.0
05033020302,1133.0,337.0,445.0,1172.0,523.0,687.0
05033020401,1246.0,359.0,456.0,1554.0,729.0,706.0
