census_tract,zero_to_eighteen,nineteen_to_twenty_five,twenty_six_to_thirty_four,thirty_five_to_fifty_four,fifty_five_to_sixty_four,sixty_five_plus
01055000300,818.0,294.0,234.0,654.0,283.0,417.0
01055000400,821.0,191.0,372.0,1032.0,588.0,915.0
01055000500,433.0,165.0,225.0,501.0,213.0,309.0
01055000600,479.0,166.0,225.0,565.0,230.0,324.0
01055000700,409.0,161.0,183.0,369.0,131.0,141.0
01055000800,282.0,118.0,107.0,330.0,142.0,117.0
01055000900,603.0,219.0,294.0,731.0,385.0,501.0
01055001000,343.0,156.0,143.0,380.0,129.0,146.0
01055001100,1054.0,204.0,346.0,1321.0,770.0,1079.0
01055001200,554.0,362.0,594.0,1083.0,374.0,633.0
01055001300,691.0,291.0,377.0,708.0,276.0,254.0
01055001600,820.0,376.0,345.0,975.0,506.0,541.0
01055001700,331.0,157.0,184.0,421.0,234.0,332.0
01055010100,513.0,179.0,228.0,577.0,290.0,294.0
01055010200,1320.0,540.0,555.0,1500.0,701.0,951.0
01055010300,697.0,192.0,311.0,888.0,410.0,457.0
01055010401,870.0,411.0,477.0,947.0,355.0,457.0
01055010402,1278.0,351.0,458.0,1606.0,853.0,1026.0
01055010501,2123.0,520.0,793.0,2659.0,1117.0,1090.0
01055010502,1098.0,434.0,455.0,1498.0,717.0,823.0
01055010601,1158.0,353.0,500.0,1594.0,773.0,985.0
01055010602,987.0,318.0,393.0,1292.0,551.0,499.0
01055010700,899.0,293.0,313.0,1106.0,626.0,562.0
01055010800,764.0,218.0,279.0,852.0,446.0,422.0
01055010900,447.0,133.0,192.0,557.0,251.0,174.0
01055011001,1185.0,337.0,442.0,1355.0,657.0,693.0
01055011002,1284.0,340.0,514.0,1419.0,627.0,654.0
01055011100,1352.0,449.0,558.0,1543.0,706.0,760.0
01055011200,872.0,319.0,357.0,793.0,318.0,311.0
01057020000,349.0,100.0,142.0,445.0,211.0,237.0
01057020100,891.0,250.0,320.0,1119.0,514.0,617.0
01057020200,1066.0,396.0,401.0,1181.0,620.0,886.0
01057020300,923.0,299.0,419.0,1103.0,605.0,728.0
01057020400,880.0,301.0,323.0,995.0,477.0,616.0
